"","Date","Open","High","Low","Close","Volume","OI"
"343",2024-06-28 09:27:00,24423,24423,24419.25,24419.25,175,56900
"344",2024-06-28 09:28:00,24419,24419.9,24413,24413,425,57325
"345",2024-06-28 09:29:00,24415.1,24415.15,24401.15,24401.15,500,57325
"346",2024-06-28 09:30:00,24401.15,24401.15,24400,24400,125,57325
"347",2024-06-28 09:31:00,24393.15,24394.1,24390,24390,325,57750
"348",2024-06-28 09:32:00,24382,24382.05,24375,24376.1,850,57750
"349",2024-06-28 09:33:00,24375,24375,24371.45,24371.5,125,57750
"350",2024-06-28 09:34:00,24371.05,24374.4,24365,24365,400,57800
"351",2024-06-28 09:35:00,24365,24369.2,24365,24368.7,350,57800
"352",2024-06-28 09:36:00,24370,24370,24360,24360,425,57575
"353",2024-06-28 09:37:00,24360,24365.25,24360,24360.7,100,57575
"354",2024-06-28 09:38:00,24360.7,24363.3,24358.05,24363.3,175,57575
"355",2024-06-28 09:39:00,24366.2,24366.2,24366.2,24366.2,25,57625
"356",2024-06-28 09:40:00,24370,24370,24359.4,24359.4,275,57625
"357",2024-06-28 09:41:00,24360,24362.05,24354.8,24354.8,425,57625
"358",2024-06-28 09:42:00,24354.8,24355.75,24340.05,24341.65,1775,57475
"359",2024-06-28 09:43:00,24340.9,24344,24338,24343.65,425,57475
"360",2024-06-28 09:44:00,24341.3,24349.4,24340,24340,125,57475
"361",2024-06-28 09:45:00,24344,24345,24344,24345,125,57475
"362",2024-06-28 09:46:00,24345.55,24346.3,24345,24346.3,250,57625
"363",2024-06-28 09:47:00,24346.3,24360,24346.3,24360,325,57625
"364",2024-06-28 09:48:00,24355.1,24356.1,24354,24354,400,57625
"365",2024-06-28 09:49:00,24350.05,24356.55,24350.05,24354.7,425,58025
"366",2024-06-28 09:50:00,24358.95,24358.95,24353,24354.95,400,58025
